sepal.length,sepal.width,petal.length,petal.width,variety
4.885855742992818,2.843334817454274,2.794838530873859,0.648896080483311,virginica
5.0,3.5,1.3,0.3,setosa
6.5,2.8,4.6,1.5,versicolor
5.1,3.3,1.7,0.5,setosa
6.379741934313259,2.6838369693128254,3.3870528192403015,2.371202180276576,virginica
6.9,3.1,5.4,2.1,virginica
4.542842362484986,3.1407499895793314,1.2843276885045636,1.9373265051257038,virginica
6.0,2.2,4.0,1.0,versicolor
4.611759961742155,2.0533723760504365,1.2014731981120579,1.0578096764139961,setosa
6.3,2.3,4.4,1.3,versicolor
5.8,2.7,5.1,1.9,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,4.9,1.5,versicolor
7.583649789831216,2.6827948625395406,1.9348732990900372,2.11475090143401,virginica
4.332970623187149,3.6280997884995903,3.326908047454758,1.9871671018722394,versicolor
6.1,2.8,4.7,1.2,versicolor
5.8,2.6,4.0,1.2,versicolor
5.8,2.8,5.1,2.4,virginica
4.9,2.5,4.5,1.7,virginica
5.7,2.5,5.0,2.0,virginica
6.127900341158789,3.492889673988791,2.929432488018711,1.9036825849315362,setosa
4.8,3.0,1.4,0.1,setosa
7.355896636218548,2.4082514577691976,2.706719041182244,1.806873739580438,virginica
5.0,2.0,3.5,1.0,versicolor
7.7,3.0,6.1,2.3,virginica
5.9,3.0,5.1,1.8,virginica
6.4,2.8,5.6,2.1,virginica
4.612336282660295,3.8656826423217487,2.099471205388247,1.0420731634701883,virginica
4.8,3.1,1.6,0.2,setosa
7.821728750341593,3.5134323246755583,2.5179877651797478,1.7090176386328597,setosa
6.254316858907382,3.712514708006216,3.458983454387177,1.1745576406450613,setosa
7.704610755505264,3.216275988368145,2.0318164644639136,2.032455977519078,setosa
6.527945110023897,2.328881803965169,2.0869267063601735,0.2797541880474612,versicolor
6.3,2.8,5.1,1.5,virginica
5.2,2.7,3.9,1.4,versicolor
5.0,3.5,1.6,0.6,setosa
6.14802732928926,3.8641192318105926,6.811587758456696,0.9169148669190017,versicolor
6.5,3.2,5.1,2.0,virginica
6.218021930170339,2.1368147503611636,6.527545448109738,0.9735043788371908,virginica
6.4,2.7,5.3,1.9,virginica
7.521774654460809,2.748276253113597,1.6375694495148099,2.081067153481918,virginica
6.2,2.2,4.5,1.5,versicolor
5.601161496114429,2.124613896285277,1.4956233466257562,0.5678574203383447,versicolor
7.22029197184124,2.4140456116369093,4.0864931335210635,2.030166939490757,setosa
6.156417183781574,3.3475964267678915,4.9277248977915695,0.5935601794885744,versicolor
6.781784977695368,3.50108543085344,3.9983278863672043,0.6618722330295141,setosa
4.310729999837318,2.810301834843835,5.685021749323132,0.8253297422525676,setosa
6.293519391477405,3.090004949101325,1.5444370083903949,0.24381379159236455,setosa
5.782847136198614,2.387637154038241,3.5114031918656607,1.7633258653354722,versicolor
7.9,3.8,6.4,2.0,virginica
7.2,3.6,6.1,2.5,virginica
7.0,3.2,4.7,1.4,versicolor
5.4,3.9,1.3,0.4,setosa
4.7479708940753085,3.5766491632918753,4.026893671615277,0.2946721033390457,versicolor
5.63990112225473,2.36231644701443,1.1836209698518034,1.6590482807175002,versicolor
7.7,2.6,6.9,2.3,virginica
4.923743557789761,3.3857895108632015,2.866805341338783,0.33708789064280953,setosa
4.9,3.1,1.5,0.1,setosa
5.607286841114712,2.589893726416081,4.746158939605625,1.2696754701442152,setosa
6.789095868354472,2.400175440847433,2.7815929563945483,2.27741331433312,virginica
5.942133637084485,2.1463954852899696,3.4766970774702153,1.506402800881246,versicolor
5.829431721653185,3.0084985411703244,1.649217788662575,1.396426177022442,setosa
5.27380672516052,3.2401667480842655,6.198543140376964,1.4635091666787545,versicolor
6.097926961692231,2.3066809439882436,4.4174632380086205,1.2209538764937593,setosa
5.322299027125689,3.364481726571199,1.7936410246043306,1.601277220865943,versicolor
6.245043051327185,2.8328642184665886,5.480229755411191,0.9149346784133624,setosa
7.61820585998675,3.1145893536252336,3.2270833752509445,1.1653525615706302,versicolor
6.3,3.4,5.6,2.4,virginica
6.9,3.2,5.7,2.3,virginica
5.574748264601682,3.613311873059796,5.358112461452542,1.3308318999897255,setosa
6.702930895017783,2.1615826734056496,1.9590297037455326,2.200016325088066,versicolor
4.771994771922831,3.1395232587564985,4.9688444947054204,2.1630755456416804,virginica
5.7,2.8,4.5,1.3,versicolor
4.943024833993275,2.6394031434819007,3.9069717627824847,0.3024866257138744,versicolor
5.2,3.5,1.5,0.2,setosa
4.6,3.1,1.5,0.2,setosa
7.327348528194324,2.1228184803475134,6.800058367097966,1.2506229894539975,setosa
6.847522760950947,2.5216538394144665,6.566705754314103,1.6700860570843263,setosa
5.4,3.4,1.5,0.4,setosa
4.995738402296361,2.5798923911229106,4.341822684673682,1.9314936535548055,setosa
5.0,3.2,1.2,0.2,setosa
7.1,3.0,5.9,2.1,virginica
6.2,2.9,4.3,1.3,versicolor
6.2,2.8,4.8,1.8,virginica
6.4,2.9,4.3,1.3,versicolor
7.495191268296128,2.900494996071982,4.157908663685216,1.2790825307346603,versicolor
7.361639649214908,3.419478807394645,6.017350306835249,1.5592411822076313,versicolor
6.3,2.9,5.6,1.8,virginica
7.163074207429078,3.458483357922251,4.350881753486981,0.7913600829730533,setosa
5.6,3.0,4.1,1.3,versicolor
